precio,superficie_total,superficie_util,dormitorios,banos,estacionamientos,tipo
17300,425.5,419.11,5,5,5,Casa
24900,670,363,5,6,2,Casa
27000,650,1200,19,5,0,Casa
23500,1100,400,5,5,8,Casa
32000,1000,600,6,5,2,Casa
10000,300,200,3,3,8,Casa
25000,750,440,4,3,2,Casa
5884.064319,250,200,6,5,1,Casa
9480,246,193,6,3,2,Casa
32000,1000,600,6,5,2,Casa
14900,380,300,4,3,2,Casa
20900,5837,420,6,5,4,Casa
18800,245,451,4,4,0,Casa
7980,250,140,4,3,2,Casa
14000,300,237,7,3,0,Casa
12000,400,185,5,4,2,Casa
6300,79,97,6,4,0,Casa
24000,400,430,4,4,0,Casa
32000,1000,600,6,5,2,Casa
11700,3500,160,4,2,2,Casa
19500,449,260,4,5,2,Casa
12000,80,360,5,4,2,Casa
32000,1000,600,6,5,2,Casa
32000,1000,600,6,5,2,Casa
32000,1000,600,6,5,2,Casa
6300,128,128,5,3,1,Casa
32000,1000,600,6,5,2,Casa
32000,1000,600,6,5,2,Casa
9480,246,193,6,3,2,Casa
12600,800,380,4,2,2,Casa
15000,200,345,8,4,2,Casa
27000,650,1200,19,5,0,Casa
29000,10000,1100,11,8,0,Casa
2778.585929,111,111,6,2,0,Casa
12500,120,77,4,2,2,Casa
28468,1003,331,5,6,0,Casa
1,70,65,3,1,0,Casa
1,140,120,3,3,0,Casa
4200,128,128,8,3,0,Casa
7320,167,95,3,2,2,Casa
13830,472,182.15,5,5,3,Casa
10800,265,350,13,6,3,Casa
2942.03216,200,140,20,2,1,Casa
4086.155777,189,170,8,2,3,Casa
13000,620,230,4,3,3,Casa
7800,140,125,4,3,1,Casa
7320,167,120,3,2,2,Casa
7320,167,95,3,2,2,Casa
13300,185,280,9,11,1,Casa
21300,1090,400,3,2,5,Casa
7320,167,100,3,2,2,Casa
2625,129.49,56.12,4,2,0,Casa
11500,300,180,4,3,2,Casa
11600,300,180,4,3,2,Casa
7845.419092,414,108,4,1,2,Casa
12635,280,186,9,9,1,Casa
4350,122,100,3,2,2,Casa
2288.247235,90,120,4,1,1,Casa
9500,100,145,4,3,2,Casa
32000,1000,500,4,4,0,Casa
3434,73.73,54,3,2,1,Casa
3350,70,65,2,2,1,Casa
12000,460,220,4,3,2,Casa
3759.263315,300,75,4,1,2,Casa
8433.825524,180,210,4,4,0,Casa
7518.52663,500,500,11,4,2,Casa
6090,286.13,132.5,4,2,0,Casa
17600,400,232,5,3,3,Casa
2288.247235,90,140,4,1,1,Casa
3922.709546,300,99,3,2,3,Casa
5501,166.25,75.32,3,3,0,Casa
17600,400,232,5,3,3,Casa
2155,41.8,63,3,1,1,Casa
5230.279395,288,188,8,3,0,Casa
5250,120,60,3,1,0,Casa
10000,360,272,6,5,4,Casa
9152.988941,426,140,3,3,2,Casa
5557.171857,150,145,4,3,1,Casa
11500,453,213,5,4,3,Casa
17300,500,500,12,8,0,Casa
19500,449,260,4,5,2,Casa
7000,201,130,5,3,2,Casa
12500,120,77,4,2,2,Casa
13000,400,850,15,15,1,Casa
22000,530,290,5,3,2,Casa
12635,185,280,9,11,1,Casa
11000,490,200,4,3,0,Casa
8500,365,180,5,4,4,Casa
8600,200,190,4,3,0,Casa
1246,181,38,2,1,1,Casa
8000,77.52,78,5,3,1,Casa
17172,460.36,384.47,9,8,0,Casa
17172,460.36,384.47,9,8,0,Casa
12500,365,340,6,4,2,Casa
20900,5837,420,6,5,4,Casa
6864.741706,200,170,6,2,2,Casa
2615.139697,160,160,3,1,1,Casa
4494.771355,180,131,3,2,0,Casa
5393.725626,120,175,4,2,0,Casa
6210.956782,210,110,32,2,4,Casa
9806.446973,300,257,7,4,2,Casa
3550,60,80,3,2,0,Casa
2940,112,90,4,1,1,Casa
6990,160,100,3,3,2,Casa
13000,240,240,7,3,2,Casa
8335.757786,273,103,3,1,1,Casa
6800,112,92,3,3,1,Casa
9316.435172,551,195,2,2,23,Casa
11500,300,180,4,3,2,Casa
3922.709546,200,200,5,2,0,Casa
2700,220,220,6,4,0,Casa
3595.817084,180,160,3,1,2,Casa
8600,500,150,4,3,2,Casa
8850,330,165,5,4,3,Casa
2366,76,54,3,2,1,Casa
2017,100,70,3,1,0,Casa
3989,260,74,3,2,3,Casa
4413.04824,272,76,3,1,1,Casa
1994.044019,116,96,3,2,1,Casa
2353.625728,110,79,3,1,1,Casa
6000,250,130,4,4,3,Casa
7191.634168,302,121,4,3,2,Casa
8200,338,108,3,2,2,Casa
2451.693466,110,80,2,1,2,Casa
3203.546129,320,160,5,3,2,Casa
1895.976281,75,65,2,1,1,Casa
2190.179497,70,69,3,1,1,Casa
3922.709546,250,100,3,3,2,Casa
8950,330,140,5,4,2,Casa
947.9881403,78,50,3,2,0,Casa
2059.422512,111,68,2,1,1,Casa
8500,180,320,4,4,1,Casa
1510,154,91,4,1,0,Casa
8673,341,163,4,4,0,Casa
7518.52663,240,140,3,3,2,Casa
3057,112,48,3,2,1,Casa
2600,103,86,5,2,2,Casa
4700,140,130,4,3,3,Casa
3268.924622,320,320,1,1,1,Casa
32490,1200,767,7,7,0,Casa
8772,361,117,3,2,0,Casa
8000,412,135,4,5,2,Casa
7300,5000,200,4,3,0,Casa
2028,120,72,3,1,1,Casa
2690,76,95,4,2,1,Casa
5200,10,10,3,2,2,Casa
