,ID,uf,m2_const,sup_terreno,dormitorios,baños,estacionamientos,bodegas,d_casa,d_proyecto,COMUNA,longitud,latitud
12091,12092,1900.0,35.0,35.0,1,1,0,0,0,0,13106,-70.6917413,-33.4550335
12092,12093,1990.0,35.57,35.57,1,1,0,0,0,0,13106,-70.692063,-33.457254
12093,12094,2600.0,52.0,52.0,2,2,1,0,0,0,13106,-70.6918,-33.4551
12094,12095,2050.0,42.0,42.0,2,1,0,0,0,0,13106,-70.6914573,-33.4560279
12095,12096,2290.0,55.0,55.0,2,2,0,0,0,0,13106,-70.6914469,-33.4552969
12096,12097,1640.0,25.0,25.0,1,1,0,0,0,0,13106,-70.6930404,-33.4529466
12097,12098,2000.0,37.0,37.0,1,1,0,0,0,0,13106,-70.6966324,-33.4524765
12098,12099,2613.0,50.0,50.0,2,2,0,0,0,0,13106,-70.6932482,-33.4545762
12099,12100,1460.0,28.11,28.11,1,1,0,0,0,0,13106,-70.6912284,-33.4571174
12100,12101,2468.0,44.0,44.0,2,1,0,0,0,0,13106,-70.6932482,-33.4545762
12101,12102,1581.0,31.03,31.03,1,1,0,0,0,0,13106,-70.691493,-33.4560359
12102,12103,1700.0,29.0,29.0,1,1,0,0,0,0,13106,-70.6914368,-33.4559288
12103,12104,2587.0,54.0,54.0,2,1,0,0,0,0,13106,-70.691752,-33.4550495
12104,12105,2250.0,42.0,42.0,2,2,1,0,0,0,13106,-70.6977809,-33.450314
12105,12106,2209.0,33.0,33.0,1,1,0,0,0,0,13106,-70.6932482,-33.4545762
12106,12107,2558.0,45.0,45.0,2,2,1,0,0,0,13106,-70.6940516,-33.4571713
12107,12108,2325.0,43.7,43.7,2,1,0,0,0,0,13106,-70.6979971,-33.4499878
12108,12109,3196.456131,67.0,67.0,3,2,1,0,0,0,13106,-70.6936825,-33.4533119
12109,12110,1450.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6909446,-33.4568947
12110,12111,2400.0,51.0,51.0,2,1,0,0,0,0,13106,-70.69488,-33.45335
12111,12112,1498.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6977752,-33.4502617
12112,12113,1226.922555,21.0,21.0,1,1,0,0,0,0,13106,-70.6907106,-33.4571713
12113,12114,1249.0,20.0,20.0,1,1,0,1,0,0,13106,-70.6943114,-33.4528856
12114,12115,1420.647169,30.0,30.0,1,1,0,0,0,0,13106,-70.695916,-33.4538251
12115,12116,2600.0,45.0,45.0,2,2,0,0,0,0,13106,-70.6951294,-33.4538956
12116,12117,2200.0,50.0,50.0,2,2,0,0,0,0,13106,-70.6914469,-33.4552969
12117,12118,2050.0,45.0,45.0,2,1,0,0,0,0,13106,-70.6951065,-33.4514046
12118,12119,2150.0,40.0,40.0,2,1,0,0,0,0,13106,-70.6977752,-33.4502617
12119,12120,1600.0,28.0,28.0,1,1,0,0,0,0,13106,-70.6914902,-33.4560356
12120,12121,3150.0,45.0,45.0,2,1,1,0,0,0,13106,-70.6927643,-33.4531059
12121,12122,1497.0,23.6,23.6,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12122,12123,1549.474038,35.0,35.0,1,1,0,0,0,0,13106,-70.6963806,-33.4532394
12123,12124,1521.0,24.0,24.0,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12124,12125,2250.0,31.0,31.0,1,1,0,0,0,0,13106,-70.6943137,-33.4511551
12125,12126,1410.0,25.0,25.0,1,1,0,0,0,0,13106,-70.6949615,-33.451458
12126,12127,1561.0,23.6,23.6,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12127,12128,2300.0,45.0,45.0,2,1,0,0,0,0,13106,-70.6951065,-33.4514046
12128,12129,1259.209991,20.0,20.0,1,1,0,0,0,0,13106,-70.6960449,-33.4538422
12129,12130,2300.0,41.0,41.0,2,1,0,1,0,0,13106,-70.6934557,-33.4521543
12130,12131,1950.0,32.0,32.0,1,1,0,0,0,0,13106,-70.6965131,-33.4512446
12131,12132,1300.0,26.0,26.0,1,1,0,0,0,0,13106,-70.6906844,-33.4572695
12132,12133,2490.0,47.14,47.14,2,2,0,0,0,0,13106,-70.6912968,-33.457398
12133,12134,1891.0,31.6,31.6,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12134,12135,2000.0,40.0,40.0,1,1,0,0,0,0,13106,-70.691838,-33.4577825
12135,12136,1870.0,30.8,30.8,1,1,0,0,0,0,13106,-70.6956031,-33.4533919
12136,12137,2450.0,40.8,40.8,2,1,0,0,0,0,13106,-70.6968609,-33.4542149
12137,12138,2647.569725,67.0,67.0,3,2,0,0,0,0,13106,-70.6933594,-33.4530067
12138,12139,2100.0,45.0,45.0,2,1,0,0,0,0,13106,-70.6914573,-33.4560279
12139,12140,1590.0,30.0,30.0,1,1,0,0,0,0,13106,-70.6959152,-33.4538269
12140,12141,1780.0,28.37,28.37,1,1,0,0,0,0,13106,-70.6940194,-33.4526415
12141,12142,2000.0,39.0,39.0,1,1,0,0,0,0,13106,-70.6918022,-33.457622
12142,12143,1800.0,33.0,33.0,1,1,0,0,0,0,13106,-70.6969004,-33.4540468
12143,12144,1900.0,30.0,30.0,1,1,0,0,0,0,13106,-70.691483,-33.455917
12144,12145,1670.0,28.0,28.0,1,1,0,0,0,0,13106,-70.691752,-33.4550495
12145,12146,2352.0,52.21,52.21,2,1,0,0,0,0,13106,-70.6912968,-33.457398
12146,12147,2450.0,45.0,45.0,2,1,0,0,0,0,13106,-70.6927548,-33.4531615
12147,12148,1700.0,27.0,27.0,1,1,0,0,0,0,13106,-70.6918271,-33.4551035
12148,12149,2636.0,47.41,47.41,2,2,0,0,0,0,13106,-70.6927935,-33.4569196
12149,12150,2464.0,39.23,39.23,1,1,0,0,0,0,13106,-70.6945966,-33.4535338
12150,12151,2450.0,40.0,40.0,1,1,1,0,0,0,13106,-70.6968903,-33.4540658
12151,12152,1950.0,31.0,31.0,1,1,0,0,0,0,13106,-70.691658,-33.4555893
12152,12153,1678.946655,27.0,27.0,1,1,0,0,0,0,13106,-70.6915765,-33.4556224
12153,12154,2600.0,54.0,54.0,2,2,0,0,0,0,13106,-70.691803,-33.4576225
12154,12155,2896.0,45.39,45.39,2,2,0,0,0,0,13106,-70.6939937,-33.4521458
12155,12156,2195.545625,30.0,30.0,1,1,1,0,0,0,13106,-70.6963284,-33.4505712
12156,12157,2270.0,36.96,36.96,1,1,0,0,0,0,13106,-70.6913194,-33.456525
12157,12158,1930.0,30.0,30.0,1,1,0,0,0,0,13106,-70.6968536,-33.4541397
12158,12159,2200.0,38.0,38.0,2,1,0,0,0,0,13106,-70.6906441,-33.4570879
12159,12160,2000.0,38.0,38.0,1,1,0,0,0,0,13106,-70.6914825,-33.4559784
12160,12161,1600.0,32.0,32.0,1,1,0,0,0,0,13106,-70.6906815,-33.4572678
12161,12162,2455.0,48.17,48.17,2,2,0,0,0,0,13106,-70.6935501,-33.4543571
12162,12163,1700.0,40.0,40.0,1,1,0,0,0,0,13106,-70.6978349,-33.4492121
12163,12164,1990.0,40.0,40.0,1,1,0,0,0,0,13106,-70.6967163,-33.451725
12164,12165,2500.0,47.0,47.0,2,2,0,0,0,0,13106,-70.6925583,-33.4481468
12165,12166,2100.0,48.0,48.0,1,2,0,0,0,0,13106,-70.6917725,-33.4550552
12166,12167,1800.0,29.0,29.0,1,1,0,0,0,0,13106,-70.696907,-33.4540482
12167,12168,2200.0,54.0,54.0,2,1,0,0,0,0,13106,-70.696907,-33.4540482
12168,12169,1800.0,33.0,33.0,1,1,0,0,0,0,13106,-70.6964954,-33.4522745
12169,12170,1340.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6906815,-33.4572678
12170,12171,2810.0,42.0,42.0,2,1,1,0,0,0,13106,-70.691493,-33.4560359
12171,12172,2650.0,43.0,43.0,2,1,0,0,0,0,13106,-70.6934891,-33.4521027
12172,12173,1350.0,23.0,23.0,1,1,0,0,0,0,13106,-70.6906815,-33.4572678
12173,12174,2248.0,44.0,44.0,2,1,0,0,0,0,13106,-70.6978065,-33.4504388
12174,12175,2450.0,43.0,43.0,2,1,0,0,0,0,13106,-70.6945419,-33.4535065
12175,12176,2150.0,33.0,33.0,1,1,0,0,0,0,13106,-70.6941867,-33.4509478
12176,12177,1990.0,33.84,33.84,1,1,0,0,0,0,13106,-70.6920199,-33.45748
12177,12178,2200.0,34.0,34.0,2,1,0,0,0,0,13106,-70.6969004,-33.4540468
12178,12179,1992.0,35.0,35.0,1,1,0,0,0,0,13106,-70.6927873,-33.4568601
12179,12180,1950.0,31.0,31.0,1,1,0,0,0,0,13106,-70.6977809,-33.450314
12180,12181,3200.0,59.0,59.0,2,2,0,0,0,0,13106,-70.6918587,-33.4574857
12181,12182,1990.0,41.0,41.0,1,1,0,0,0,0,13106,-70.6967163,-33.451725
12182,12183,1990.0,36.0,36.0,1,1,0,0,0,0,13106,-70.6940765,-33.4571686
12183,12184,1400.0,20.0,20.0,1,1,0,0,0,0,13106,-70.6964811,-33.4533324
12184,12185,1330.0,21.0,21.0,1,1,0,0,0,0,13106,-70.6911353,-33.4550203
12185,12186,2421.557675,42.0,42.0,2,1,0,0,0,0,13106,-70.691752,-33.4550495
12186,12187,2850.0,60.0,60.0,2,2,0,0,0,0,13106,-70.6918022,-33.457622
12187,12188,1350.0,20.0,20.0,1,1,0,0,0,0,13106,-70.694313,-33.4528847
12188,12189,1290.0,20.0,20.0,1,1,0,0,0,0,13106,-70.6916945,-33.4572669
12189,12190,1600.0,23.0,23.0,1,1,0,0,0,0,13106,-70.6943244,-33.4512446
12190,12191,2130.0,38.0,38.0,1,1,0,0,0,0,13106,-70.6924744,-33.4539185
12191,12192,1850.0,37.0,37.0,1,1,0,0,0,0,13106,-70.691493,-33.4560359
12192,12193,1870.0,33.07,33.07,1,1,0,0,0,0,13106,-70.6938651,-33.4532165
